Id,Label,timeset,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,pageranks,indegree,outdegree,Degree
LuisFreddyGuam1,LuisFreddyGuam1,,8,0,0,0,0,0,0,0.000718,1,0,1
stalinvalle,stalinvalle,,11,0,0,0,0,0,0,0.000718,1,0,1
JackManciny,JackManciny,,37,0,0,0,0,0,0,0.000718,1,0,1
jon_flaca1,jon_flaca1,,1,0,0,0,0,0,0,0.000718,1,0,1
SamaelMoringst2,SamaelMoringst2,,3,0,0,0,0,0,0,0.000718,1,0,1
amigo90000,amigo90000,,45,0,0,0,0,0,0,0.000718,1,0,1
ItsmeshailynT,ItsmeshailynT,,172,0,0,0,0,0,0,0.000718,1,0,1
sgc4dd1OK75NdIj,sgc4dd1OK75NdIj,,3,0,0,0,0,0,0,0.000718,1,0,1
abuzar1432,abuzar1432,,269,0,0,0,0,0,0,0.000718,1,0,1
DOUF32813700,DOUF32813700,,119,0,0,0,0,0,0,0.000718,1,0,1
7GxLn8v4VouZ4IB,7GxLn8v4VouZ4IB,,70,0,0,0,0,0,0,0.000718,1,0,1
JuanJoseLaRosa6,JuanJoseLaRosa6,,2,0,0,0,0,0,0,0.000718,1,0,1
eydyymoyxukg,eydyymoyxukg,,150,0,0,0,0,0,0,0.000718,1,0,1
PabloFloresMa17,PabloFloresMa17,,15,0,0,0,0,0,0,0.000718,1,0,1
kiraaaeunicee,kiraaaeunicee,,25,0,0,0,0,0,0,0.000718,1,0,1
dushyant_aujla,dushyant_aujla,,4,0,0,0,0,0,0,0.000718,1,0,1
Kathlee42094585,Kathlee42094585,,206,0,0,0,0,0,0,0.000718,1,0,1
GuildChief,GuildChief,,73,0,0,0,0,0,0,0.000718,1,0,1
Gifsyvideos,Gifsyvideos,,58800,0,0,0,0,0,0,0.000718,1,0,1
WaqasMa12230948,WaqasMa12230948,,1,0,0,0,0,0,0,0.000718,1,0,1
Jessus64649334,Jessus64649334,,2,0,0,0,0,0,0,0.000718,1,0,1
DoloAmadou19,DoloAmadou19,,1,0,0,0,0,0,0,0.000718,1,0,1
Lazarmitic10,Lazarmitic10,,6,0,0,0,0,0,0,0.000718,1,0,1
FelicitaGuillen,FelicitaGuillen,,6,0,0,0,0,0,0,0.000718,1,0,1
laloaboytes,laloaboytes,,18,0,0,0,0,0,0,0.000718,1,0,1
GDESPOSITO08,GDESPOSITO08,,103,0,0,0,0,0,0,0.000718,1,0,1
makarov223,makarov223,,79,0,0,0,0,0,0,0.000718,1,0,1
Abusayeed45,Abusayeed45,,63,0,0,0,0,0,0,0.000718,1,0,1
_iluvbutt,_iluvbutt,,183,0,0,0,0,0,0,0.000718,1,0,1
Postin87620284,Postin87620284,,12,0,0,0,0,0,0,0.000718,1,0,1
Juan51201533,Juan51201533,,6,0,0,0,0,0,0,0.000718,1,0,1
Sertan17342377,Sertan17342377,,4,0,0,0,0,0,0,0.000718,1,0,1
FARELL09409581,FARELL09409581,,48,0,0,0,0,0,0,0.000718,1,0,1
EddieRo62462256,EddieRo62462256,,16,0,0,0,0,0,0,0.000718,1,0,1
ashleyarmour2,ashleyarmour2,,210,0,0,0,0,0,0,0.000718,1,0,1
Hil92080361,Hil92080361,,140,0,0,0,0,0,0,0.000718,1,0,1
tarok139850,tarok139850,,300,0,0,0,0,0,0,0.000718,1,0,1
Joelhurtadoo1,Joelhurtadoo1,,2,0,0,0,0,0,0,0.000718,1,0,1
PrateekMattoo1,PrateekMattoo1,,5,0,0,0,0,0,0,0.000718,1,0,1
Miguel40630308,Miguel40630308,,6,0,0,0,0,0,0,0.000718,1,0,1
ERYJ_E9WXYTL,ERYJ_E9WXYTL,,373,0,0,0,0,0,0,0.000718,1,0,1
LazarIlias,LazarIlias,,1,0,0,0,0,0,0,0.000718,1,0,1
Ade81660087,Ade81660087,,3,0,0,0,0,0,0,0.000718,1,0,1
aspin50530249,aspin50530249,,10,0,0,0,0,0,0,0.000718,1,0,1
wilmer77668131,wilmer77668131,,0,0,0,0,0,0,0,0.000718,1,0,1
LawrenceMaylaw,LawrenceMaylaw,,29,0,0,0,0,0,0,0.000718,1,0,1
MalikJ1998,MalikJ1998,,6,0,0,0,0,0,0,0.000718,1,0,1
siswan1978,siswan1978,,26,0,0,0,0,0,0,0.000718,1,0,1
stephinedeleone,stephinedeleone,,95,0,0,0,0,0,0,0.000718,1,0,1
BigEyes1988,BigEyes1988,,32,0,0,0,0,0,0,0.000718,1,0,1
SalomonQuimi,SalomonQuimi,,59,0,0,0,0,0,0,0.000718,1,0,1
singlecdmx27,singlecdmx27,,31,0,0,0,0,0,0,0.000718,1,0,1
PhotographJairo,PhotographJairo,,73,0,0,0,0,0,0,0.000718,1,0,1
Erap11542224,Erap11542224,,18,0,0,0,0,0,0,0.000718,1,0,1
JeffFly23358815,JeffFly23358815,,5,0,0,0,0,0,0,0.000718,1,0,1
ArmandoGaqui27,ArmandoGaqui27,,4,0,0,0,0,0,0,0.000718,1,0,1
jorge97766490,jorge97766490,,98,0,0,0,0,0,0,0.000718,1,0,1
nidtaupe,nidtaupe,,96,0,0,0,0,0,0,0.000718,1,0,1
Marksharman68,Marksharman68,,1860,0,0,0,0,0,0,0.000718,1,0,1
